Status|IP Address|Port|Country|Protocol|Anonymity|Speed
valid|61.91.251.4|8080|Thailand|HTTPS|Medium|17130 
valid|218.59.144.120|81|China|HTTPS|Medium|17130 
valid|91.121.165.42|3136|France|HTTPS|Medium|77718 
valid|186.95.68.116|8080|Venezuela|HTTPS|Medium|77718 
valid|183.221.160.149|8123|China|HTTPS|Medium|9955  
valid|190.206.173.10|8080|Venezuela|HTTPS|Medium|9955  
valid|202.141.250.173|80|Pakistan|HTTPS|Medium|61613 
valid|188.132.226.2|80|Turkey|HTTPS|Medium|61613 
valid|31.15.48.12|80|Sweden|HTTP|Medium|22672 
valid|186.91.76.127|8080|Venezuela|HTTP|Medium|22672 
valid|218.65.132.38|80|China|HTTP|None|13894 
valid|220.231.32.195|3128|China|HTTPS|Medium|21225 
valid|183.203.208.169|8118|China|HTTPS|Medium|21225 
valid|183.203.208.173|8118|China|HTTP|Medium|1605  
valid|221.182.62.115|9999|China|HTTP|Medium|1605  
valid|183.203.208.179|8118|China|HTTP|Medium|13061 
valid|183.203.208.164|8118|China|HTTP|Medium|13061 
valid|117.135.252.15|80|China|HTTP|Elite|23469 
valid|134.119.24.247|3128|Germany|HTTP|Elite|192907
valid|218.204.141.92|8118|China|HTTP|Elite|192907
valid|117.135.252.14|80|China|HTTP|Elite|22898 
valid|111.13.12.202|80|China|HTTP|None|6515  
valid|117.135.252.13|80|China|HTTP|Elite|21206 
valid|222.88.236.236|843|China|HTTP|Medium|9965  
valid|211.144.81.68|18000|China|HTTP|Medium|9965  
valid|117.135.252.17|80|China|HTTP|Elite|24208 
valid|41.222.196.52|8080|Congo, The Democratic Republic of the|HTTPS|Medium|55368 
valid|111.161.126.99|80|China|HTTPS|Medium|55368 
valid|222.88.236.236|80|China|HTTP|Medium|12592 
valid|36.250.69.4|80|China|HTTP|Medium|12592 
valid|203.144.144.162|8080|Thailand|HTTP|Elite|9051  
valid|109.175.8.38|8080|Bosnia and Herzegovina|HTTPS|Medium|11935 
valid|103.11.116.46|80|India|HTTPS|Medium|11935 
valid|122.225.106.40|80|China|HTTP|None|13332 
valid|122.225.106.36|80|China|HTTP|None|13402 
valid|200.6.247.181|8080|Guatemala|HTTPS|Medium|12920 
valid|123.245.190.61|8585|China|HTTPS|Medium|12920 
valid|218.93.116.177|1080|China|SOCKS4|Elite|18309 
valid|123.119.160.255|8118|China|HTTP|Medium|5135  
valid|186.94.25.42|8080|Venezuela|HTTP|Medium|5135  
valid|141.105.164.188|8080|Satellite Provider|HTTP|None|6946  
valid|220.181.32.106|80|China|HTTP|None|6946  
valid|120.83.5.164|18000|China|HTTPS|Medium|7331  
valid|183.203.208.162|8118|China|HTTPS|Medium|7331  
valid|189.112.88.65|3128|Brazil|HTTPS|Medium|3273  
valid|94.228.205.33|8080|Russia|HTTPS|Medium|3273  
valid|202.158.47.18|8080|Indonesia|HTTPS|Medium|14974 
valid|103.11.116.46|8080|India|HTTPS|Medium|14974 
valid|183.203.208.168|8118|China|HTTP|Medium|6553  
valid|202.29.97.5|3128|Thailand|HTTP|Medium|6553  
valid|218.5.74.174|80|China|HTTP|None|2656  
valid|201.45.116.140|3128|Brazil|HTTP|None|2656  
valid|113.83.92.156|18186|China|HTTP|Medium|13091 
valid|117.135.252.12|80|China|HTTP|Elite|12631 
valid|61.157.126.37|18000|China|HTTPS|Medium|2592  
valid|113.9.13.222|8585|China|HTTPS|Medium|2592  
valid|202.151.248.21|80|Malaysia|HTTP|None|2130  
valid|202.150.145.142|8080|Indonesia|HTTPS|Medium|1347  
valid|111.206.81.248|80|China|HTTP|None|12254 
valid|117.21.192.8|80|China|HTTP|Medium|13992 
valid|121.10.252.139|3128|China|HTTPS|Medium|6883  
valid|61.147.67.2|9125|China|HTTPS|Medium|6883  
valid|221.5.69.52|8085|China|HTTP|None|9003  
valid|202.108.23.247|80|China|HTTP|None|12736 
valid|150.188.88.16|8080|Venezuela|HTTPS|Medium|5482  
valid|84.22.32.222|3128|Serbia|HTTPS|Medium|5482  
valid|124.202.221.26|8118|China|HTTP|Medium|11126 
valid|119.6.144.78|81|China|HTTP|Medium|11126 
valid|120.202.249.230|80|China|HTTP|Elite|12327 
valid|101.255.28.38|8080|China|HTTP|Elite|12327 
valid|218.90.174.167|3128|China|HTTPS|Medium|17873 
valid|186.95.47.160|8080|Venezuela|HTTPS|Medium|17873 
valid|219.145.93.110|8080|China|HTTPS|Medium|13051 
valid|119.6.144.73|83|China|HTTP|Medium|3786  
valid|119.6.144.73|843|China|HTTP|Medium|3786  
